"","airline_name","type_traveller","cabin_flown","overall_rating","seat_comfort_rating","cabin_staff_rating","food_beverages_rating","inflight_entertainment_rating","ground_service_rating","wifi_connectivity_rating","value_money_rating","recommended"
"5462","airbaltic",NA,"Economy",NA,0,0,0,0,NA,NA,1,0
"5463","air-transat",NA,"Economy",9,4,4,4,4,NA,NA,5,1
"5464","air-transat",NA,"Economy",5,4,5,2,4,NA,NA,2,0
"5465","air-transat",NA,"Economy",1,2,1,2,3,NA,NA,2,0
"5466","air-transat",NA,"Economy",10,4,5,5,3,NA,NA,5,1
"5467","air-new-zealand",NA,"Premium Economy",9,5,5,4,4,NA,NA,4,1
"5468","air-new-zealand",NA,"Economy",NA,1,5,4,3,NA,NA,1,0
"5469","air-new-zealand",NA,"Premium Economy",9,4,5,4,4,NA,NA,4,1
"5470","air-new-zealand",NA,"Economy",3,3,2,4,4,NA,NA,3,0
"5471","air-blue",NA,"Economy",NA,1,1,2,3,NA,NA,3,0
"5472","air-blue",NA,"Economy",NA,2,4,4,1,NA,NA,1,0
"5473","air-blue",NA,"Economy",5,3,3,4,0,NA,NA,3,1
"5474","airasia-x",NA,"Economy",7,3,5,3,0,NA,NA,5,1
"5475","airasia-x",NA,"Economy",8,4,4,4,0,NA,NA,5,1
"5476","airasia-x",NA,"Economy",10,3,4,0,0,NA,NA,5,1
"5477","airasia",NA,"Economy",6,NA,NA,NA,NA,NA,NA,4,1
"5478","airasia",NA,"Economy",5,3,3,3,1,NA,NA,5,1
"5479","airasia",NA,"Economy",3,3,3,3,1,NA,NA,4,0
"5480","airbaltic",NA,"Economy",7,3,4,4,0,NA,NA,4,1
"5481","airbaltic",NA,"Economy",4,3,3,2,1,NA,NA,3,0
"5482","airbaltic",NA,"Economy",9,3,5,3,0,NA,NA,4,1
"5483","air-transat",NA,"Economy",7,3,3,3,2,NA,NA,3,1
"5484","air-transat",NA,"Economy",4,4,1,1,4,NA,NA,4,0
"5485","air-transat",NA,"Economy",10,4,5,5,5,NA,NA,4,1
"5486","air-transat",NA,"Economy",NA,1,3,2,4,NA,NA,1,0
"5487","air-new-zealand",NA,"Economy",9,4,4,5,5,NA,NA,4,1
"5488","air-new-zealand",NA,"Premium Economy",5,3,3,1,5,NA,NA,2,0
"5489","air-new-zealand",NA,"Economy",2,2,2,5,5,NA,NA,2,0
"5490","air-blue",NA,"Economy",NA,2,1,1,1,NA,NA,1,0
"5491","air-blue",NA,"Economy",8,4,4,4,0,NA,NA,4,1
"5492","air-blue",NA,"Economy",NA,1,1,3,1,NA,NA,1,0
"5493","air-blue",NA,"Economy",1,2,4,4,0,NA,NA,2,0
"5494","airasia-x",NA,"Premium Economy",9,4,5,4,1,NA,NA,5,1
"5495","airasia-x",NA,"Economy",10,4,5,4,1,NA,NA,5,1
"5496","airasia-x",NA,"Economy",4,5,3,1,1,NA,NA,3,0
"5497","airasia",NA,"Economy",6,4,2,1,1,NA,NA,4,1
"5498","airasia",NA,"Economy",7,3,3,3,1,NA,NA,5,1
"5499","airasia",NA,"Economy",8,4,3,3,1,NA,NA,4,0
"5500","airasia",NA,"Economy",8,3,4,1,1,NA,NA,5,1
"5501","airbaltic",NA,"Economy",2,1,3,4,1,NA,NA,2,0
"5502","airbaltic",NA,"Economy",2,3,2,1,1,NA,NA,1,0
"5503","airbaltic",NA,"Economy",NA,3,2,3,0,NA,NA,3,0
"5504","airbaltic",NA,"Economy",7,3,4,2,1,NA,NA,4,1
"5505","air-transat",NA,"Economy",9,5,5,3,3,NA,NA,5,1
"5506","air-transat",NA,"Economy",NA,3,3,3,5,NA,NA,2,0
"5507","air-transat",NA,"Economy",NA,1,3,0,3,NA,NA,1,0
"5508","air-transat",NA,"Economy",10,4,5,4,5,NA,NA,5,1
"5509","air-new-zealand",NA,"Economy",5,3,3,2,4,NA,NA,3,0
